,0
0,0.008348211
1,0.0059741535
2,0.008194739
3,0.008945153
4,0.008414147
5,0.008800632
6,0.008581416
7,0.008680617
8,0.008702556
9,0.009000253
10,0.009554304
11,0.010405437
12,0.0043355967
13,0.00550714
14,0.007020424
15,0.009396674
16,0.010108043
17,0.0078014615
18,0.004380544
19,0.0027752866
20,0.0024515071
21,0.003260753
22,0.0056599653
23,0.007434753
24,0.009128527
25,0.011454596
26,0.013917612
27,0.0162547
28,0.018876368
29,0.021289475
30,0.024113793
31,0.027364327
32,0.031130685
33,0.036319662
34,0.042019583
35,0.048940964
36,0.056642093
37,0.065424174
38,0.07408273
39,0.083039485
40,0.09122616
41,0.09940118
42,0.1064267
43,0.111928135
44,0.11631866
45,0.12150055
46,0.12658437
47,0.13247064
48,0.13886955
49,0.14615594
50,0.15437032
51,0.16245008
52,0.1708414
53,0.17925297
54,0.18799305
55,0.19688961
56,0.20571858
57,0.21446367
58,0.22327207
59,0.23176411
60,0.23998341
61,0.24816011
62,0.2558312
63,0.26314092
64,0.27000347
65,0.2765637
66,0.28280544
67,0.28868917
68,0.29418257
69,0.2992819
70,0.30407155
71,0.30840087
72,0.31230375
73,0.3159754
74,0.31912386
75,0.32195425
76,0.32443476
77,0.326479
78,0.3282515
79,0.32969856
80,0.3308345
81,0.33170536
82,0.3323407
83,0.33275163
84,0.33295578
85,0.33299705
86,0.3328776
87,0.33263287
88,0.33226496
89,0.33177125
90,0.33123899
91,0.330613
92,0.3299058
93,0.32918337
94,0.328406
95,0.32760292
96,0.32675666
97,0.325886
98,0.3250025
99,0.32410246
100,0.32320672
101,0.32229617
102,0.3213703
103,0.3204215
104,0.31948474
105,0.31857404
106,0.31762847
107,0.31669292
108,0.31577027
109,0.31482437
110,0.31390232
111,0.31298134
112,0.31206205
113,0.31110922
114,0.31019717
115,0.309287
116,0.30837348
117,0.3074532
118,0.30656043
119,0.30564696
120,0.30474436
121,0.30385765
122,0.302969
123,0.30207664
124,0.3012017
125,0.30031484
126,0.29944462
127,0.298561
128,0.29769775
129,0.2968487
130,0.29600668
131,0.2951358
132,0.2942977
133,0.2934631
134,0.29262182
135,0.2917886
136,0.29096276
137,0.29012674
138,0.28931275
139,0.28850433
140,0.28766537
141,0.286858
142,0.28607494
143,0.2852895
144,0.28447548
145,0.2837045
146,0.28292713
147,0.28212357
148,0.28132698
149,0.28059757
150,0.2798167
151,0.27904493
152,0.27827576
153,0.27753088
154,0.27678177
155,0.27604058
156,0.27528918
157,0.2745576
158,0.27382463
159,0.27306157
160,0.27238718
161,0.27164176
162,0.27092066
163,0.2702219
164,0.2694961
165,0.2687955
166,0.26807863
167,0.26738662
168,0.26671728
169,0.2660145
170,0.26532528
171,0.26464808
172,0.2639841
173,0.26333013
174,0.26263112
175,0.26195335
176,0.26131314
177,0.2606646
178,0.26003397
179,0.25934783
180,0.25867558
181,0.25803095
182,0.25739887
183,0.2567588
184,0.2561285
185,0.25551736
186,0.25489154
187,0.25425234
188,0.2535969
189,0.2530037
190,0.2523761
191,0.25176862
192,0.2511677
193,0.2505659
194,0.24998009
195,0.24937922
196,0.24880528
197,0.24822669
198,0.24761494
199,0.24703667
200,0.24646674
201,0.24589217
202,0.24526781
203,0.24470957
204,0.24415687
205,0.24354525
206,0.2429863
207,0.24244063
208,0.24191982
209,0.24131875
210,0.24075818
211,0.24023904
212,0.23966184
213,0.23917381
214,0.2385866
215,0.23803401
216,0.23751165
217,0.23700151
218,0.23646608
219,0.23591764
220,0.23543188
221,0.23486923
222,0.23437062
223,0.23386303
224,0.2333175
225,0.23286682
226,0.23231326
227,0.23178662
228,0.23130405
229,0.23080087
230,0.23027933
231,0.2297854
232,0.22930633
233,0.22880419
234,0.22832479
235,0.22782467
236,0.22733791
237,0.22685511
238,0.22633699
239,0.2258854
240,0.22545215
241,0.22491425
242,0.22445346
243,0.22402208
244,0.22350399
245,0.22305577
246,0.22261338
247,0.22209448
248,0.22170159
249,0.22121264
250,0.22074664
251,0.22028898
252,0.21985975
253,0.21938595
254,0.2189809
255,0.21847607
256,0.21804592
257,0.21759748
258,0.21718764
259,0.21671186
260,0.21630664
261,0.21584111
262,0.21543092
263,0.21496284
264,0.21455798
265,0.2141041
266,0.21373306
267,0.21326299
268,0.21286772
269,0.2124146
270,0.21200877
271,0.21156426
272,0.21119615
273,0.21072951
274,0.21039224
275,0.20990853
276,0.20955388
277,0.2090897
278,0.20875283
279,0.20828554
280,0.20794195
281,0.20749342
282,0.20713934
283,0.20670764
284,0.20636624
285,0.20592833
286,0.20556158
287,0.20515595
288,0.20478237
289,0.2043825
290,0.20400937
291,0.20361097
292,0.20325862
293,0.20284642
294,0.2024955
295,0.2021059
296,0.20175123
297,0.20136933
298,0.20100237
299,0.2006275
300,0.20026109
301,0.199884
302,0.19952695
303,0.19915394
304,0.19880214
305,0.19844683
306,0.1980847
307,0.19773516
308,0.19736789
309,0.19701594
310,0.19666013
311,0.196287
312,0.19594257
313,0.19556092
314,0.19522431
315,0.19485398
316,0.1945116
317,0.19414599
318,0.1938191
319,0.19345598
320,0.19312935
321,0.1927687
322,0.19243492
323,0.19208935
324,0.1917518
325,0.19141512
326,0.19107668
327,0.19074838
328,0.1904051
329,0.19008629
330,0.18973947
331,0.1894141
332,0.18906996
333,0.1887539
334,0.18840766
335,0.18809925
336,0.18776648
337,0.18745077
338,0.18710859
339,0.18680058
340,0.18646047
341,0.18615809
342,0.18582977
343,0.18551472
344,0.18519758
345,0.18488552
346,0.18456134
347,0.18425386
348,0.18393639
349,0.1836407
350,0.18331754
351,0.18301803
352,0.18270203
353,0.18240146
354,0.18210849
355,0.1817996
356,0.18150662
357,0.18119395
358,0.18091375
359,0.18059385
360,0.18031514
361,0.17999296
362,0.1797152
363,0.17940445
364,0.17912637
365,0.1788251
366,0.1785462
367,0.17825444
368,0.1779661
369,0.17768247
370,0.17739505
371,0.1771033
372,0.17681806
373,0.17653528
374,0.17624924
375,0.17597757
376,0.17568177
377,0.17543414
378,0.17512716
379,0.17487603
380,0.1745661
381,0.17431356
382,0.17401177
383,0.1737707
384,0.17347175
385,0.17322618
386,0.17293055
387,0.17268565
388,0.17238462
389,0.17213897
390,0.17184335
391,0.17160599
392,0.17131072
393,0.17108098
394,0.17078407
395,0.17055692
396,0.17025542
397,0.17003112
398,0.16973805
399,0.16950592
400,0.16922094
401,0.16898821
402,0.16870056
403,0.16847631
404,0.16819845
405,0.16797437
406,0.16770476
407,0.1674666
408,0.16720013
409,0.16696253
410,0.16668794
411,0.16645132
412,0.16619442
413,0.16596214
414,0.16570494
415,0.1654668
416,0.16522859
417,0.16498089
418,0.16473919
419,0.16448165
420,0.16424967
421,0.16401677
422,0.16377445
423,0.16353783
424,0.16329561
425,0.16305475
426,0.1628106
427,0.16257693
428,0.16233878
429,0.16211523
430,0.16187324
431,0.16165532
432,0.16141666
433,0.16118672
434,0.1609555
435,0.16072188
436,0.16049488
437,0.16026446
438,0.16003546
439,0.15979847
440,0.1595823
441,0.15935461
442,0.15913433
443,0.15890303
444,0.15869252
445,0.15845934
446,0.1582384
447,0.15802091
448,0.15780663
449,0.15757039
450,0.15735991
451,0.1571275
452,0.15691876
453,0.15669857
454,0.1564745
455,0.15626371
456,0.1560485
457,0.15582992
458,0.15561995
459,0.15540294
460,0.15519388
461,0.15497628
462,0.15476619
463,0.15455338
464,0.15435493
465,0.1541484
466,0.15393107
467,0.15373282
468,0.1535088
469,0.15332618
470,0.15309706
471,0.15291509
472,0.1526856
473,0.15250377
474,0.1522824
475,0.15209258
476,0.15187615
477,0.1516909
478,0.15148096
479,0.15128875
480,0.15108438
481,0.150882
482,0.15067327
483,0.15047336
484,0.15027587
485,0.15008008
486,0.14987728
487,0.14967859
488,0.14949924
489,0.14929086
490,0.14911373
491,0.14890516
492,0.14872718
493,0.14851722
494,0.14835002
495,0.14813617
496,0.14796542
497,0.1477539
498,0.14758332
499,0.14737424
500,0.14720303
501,0.14699191
502,0.14682655
503,0.14661641
504,0.1464493
505,0.14623897
506,0.14607723
507,0.14586835
508,0.14570688
509,0.1454998
510,0.14533907
511,0.14513502
512,0.14497477
513,0.144774
514,0.14460923
515,0.14440715
516,0.14424138
517,0.14405124
518,0.1438888
519,0.14369588
520,0.14352591
521,0.14334016
522,0.14316231
523,0.14298144
524,0.1428144
525,0.14263387
526,0.1424596
527,0.14228877
528,0.14210744
529,0.14193305
530,0.14175776
531,0.14158341
532,0.14141269
533,0.14124279
534,0.14107601
535,0.14089845
536,0.14073458
537,0.14055724
538,0.1403909
539,0.14020726
540,0.14005738
541,0.13987783
542,0.1397231
543,0.13954185
544,0.13938066
545,0.13920842
546,0.13904238
547,0.13887395
548,0.13872173
549,0.13855359
550,0.13838744
551,0.13823053
552,0.13806915
553,0.13790813
554,0.13774174
555,0.13758494
556,0.13741386
557,0.13724995
558,0.13708775
559,0.13693844
560,0.13677104
561,0.13661152
562,0.13645267
563,0.13629836
564,0.13613506
565,0.1359731
566,0.13582122
567,0.13566996
568,0.13551879
569,0.13535978
570,0.13520719
571,0.13505353
572,0.13489687
573,0.1347408
574,0.13458556
575,0.13442695
576,0.13427946
577,0.13412529
578,0.13397796
579,0.13381518
580,0.13368574
581,0.13351394
582,0.13338807
583,0.13321519
584,0.13308516
585,0.13291396
586,0.13277838
587,0.13261874
588,0.1324829
589,0.13232489
590,0.1321768
591,0.13203034
592,0.13188274
593,0.13173126
594,0.13159078
595,0.13143517
596,0.13130642
597,0.13115428
598,0.1310136
599,0.13087861
600,0.13072352
601,0.13058859
602,0.13042606
603,0.13029592
604,0.13013817
605,0.13001382
606,0.12986009
607,0.12973158
608,0.12957737
609,0.12945688
610,0.12929654
611,0.12916853
612,0.1290144
613,0.12889184
614,0.12873371
615,0.1286045
616,0.12846148
617,0.1283375
618,0.12818101
619,0.12806328
620,0.12790143
621,0.12778188
622,0.12763365
623,0.12750405
624,0.12735218
625,0.1272229
626,0.12707257
627,0.12694676
628,0.12679446
629,0.12666398
630,0.1265152
631,0.12638704
632,0.12624317
633,0.12610766
634,0.12596324
635,0.1258352
636,0.12569754
637,0.12555934
638,0.1254264
639,0.12528361
640,0.12515648
641,0.1250085
642,0.12488097
643,0.12475674
644,0.124619305
645,0.12448415
646,0.124345124
647,0.12421324
648,0.1240736
649,0.12394724
650,0.12380634
651,0.12368846
652,0.123550415
653,0.123418756
654,0.123282336
655,0.12315378
656,0.123025134
657,0.12289627
658,0.122768536
659,0.122636
660,0.12250835
661,0.12237631
662,0.122258134
663,0.12211906
664,0.12199388
665,0.121868804
666,0.12174042
667,0.12161317
668,0.12148753
669,0.12135536
670,0.12123805
671,0.12110761
672,0.12098741
673,0.120865256
674,0.12074568
675,0.120614305
676,0.12049405
677,0.12036529
678,0.120237485
679,0.12011021
680,0.11998923
681,0.119865336
682,0.11974756
683,0.11962891
684,0.11950277
685,0.119375855
686,0.11925986
687,0.11915104
688,0.11902441
689,0.11891326
690,0.11879085
691,0.11867572
692,0.11854497
693,0.11843595
694,0.11830523
695,0.118201695
696,0.11807487
697,0.11796858
698,0.11783855
699,0.11773207
700,0.117609516
701,0.11749966
702,0.117369495
703,0.117256366
704,0.11714082
705,0.11702133
706,0.116908066
707,0.11680043
708,0.11668386
709,0.1165687
710,0.116460465
711,0.11633725
712,0.11622629
713,0.11611442
714,0.11600314
715,0.1158871
716,0.11578078
717,0.11566177
718,0.11554842
719,0.115433335
720,0.11532801
721,0.115202345
722,0.11510042
723,0.114979394
724,0.11487824
725,0.114751555
726,0.114656776
727,0.11454355
728,0.11444613
729,0.11432056
730,0.11422138
731,0.11410266
732,0.11400505
733,0.11388383
734,0.113789186
735,0.11367681
736,0.1135764
737,0.113459624
738,0.113357246
739,0.11324605
740,0.11314917
741,0.113034695
742,0.112934195
743,0.11282354
744,0.11272197
745,0.112603724
746,0.112509474
747,0.112401545
748,0.11229736
749,0.11218948
750,0.11208529
751,0.11198239
752,0.11187972
753,0.11178196
754,0.11167691
755,0.11156612
756,0.11146541
757,0.11136442
758,0.111261114
759,0.11116425
760,0.11106042
761,0.11095521
762,0.11084827
763,0.11075463
764,0.110656194
765,0.11055795
766,0.11045861
767,0.110361986
768,0.11025112
769,0.11015425
770,0.11005998
771,0.10995853
772,0.10984797
773,0.10976393
774,0.10965858
775,0.10955684
776,0.10945965
777,0.10936344
778,0.10926193
779,0.109166294
780,0.1090712
781,0.10897759
782,0.10887192
783,0.108772166
784,0.108679846
785,0.108594894
786,0.108496
787,0.108391404
788,0.108299546
789,0.10819895
790,0.10810627
791,0.10801087
792,0.10792721
793,0.10782339
794,0.10772925
795,0.10763874
796,0.107540905
797,0.10744328
798,0.10735727
799,0.107253514
800,0.10716606
801,0.107065655
802,0.106987566
803,0.10687671
804,0.10679734
805,0.10669241
806,0.10662006
807,0.106512345
808,0.10643166
809,0.10632238
810,0.10624588
811,0.10615287
812,0.10606442
813,0.10596208
814,0.10587526
815,0.10577938
816,0.10569423
817,0.105597265
818,0.10551314
819,0.105422504
820,0.10534651
821,0.10525503
822,0.1051629
823,0.1050755
824,0.10497424
825,0.104886346
826,0.104787156
827,0.104704306
828,0.10460889
829,0.104535714
830,0.10444437
831,0.10436437
832,0.104258
833,0.10418321
834,0.10409003
835,0.1040044
836,0.10391168
837,0.10383708
838,0.10373505
839,0.10366189
840,0.10356692
841,0.10348489
842,0.103392534
843,0.10331255
844,0.10321536
845,0.103136435
846,0.10304477
847,0.102969706
848,0.10287927
849,0.1028033
850,0.1027106
851,0.1026328
852,0.10254854
853,0.10246298
854,0.10237849
855,0.10229692
856,0.10221236
857,0.10213031
858,0.10205003
859,0.10196975
860,0.10188648
861,0.10179687
862,0.10171316
863,0.10162965
864,0.101552606
865,0.10147101
866,0.10139119
867,0.10131444
868,0.10122207
869,0.1011544
870,0.10106943
871,0.10099083
872,0.10091472
873,0.10083346
874,0.100749
875,0.10067761
876,0.100585625
877,0.10051034
878,0.10042488
879,0.10034049
880,0.10027128
881,0.10018065
882,0.10010045
883,0.100021124
884,0.09994548
885,0.09986933
886,0.09979162
887,0.09971513
888,0.09963428
889,0.09956137
890,0.09948572
891,0.099399425
892,0.09931811
893,0.09924357
894,0.09916819
895,0.09908904
896,0.09900754
897,0.098935656
898,0.09885515
899,0.09878155
900,0.098698184
901,0.098626316
902,0.09854607
903,0.09847543
904,0.09839327
905,0.0983223
906,0.09823524
907,0.0981606
908,0.0980804
909,0.09801548
910,0.09793576
911,0.09786479
912,0.09778192
913,0.09772025
914,0.097636186
915,0.097574584
916,0.09748231
917,0.097426206
918,0.09733558
919,0.09727553
920,0.097195424
921,0.09712811
922,0.09704687
923,0.09698493
924,0.09689954
925,0.09683096
926,0.09675614
927,0.09669078
928,0.096610405
929,0.0965523
930,0.0964636
931,0.09638942
932,0.09632441
933,0.0962446
934,0.09617824
935,0.09610412
936,0.09602828
937,0.0959515
938,0.095887244
939,0.09581967
940,0.09574919
941,0.09566728
942,0.09560487
943,0.0955226
944,0.09546125
945,0.09538902
946,0.09531754
947,0.095238864
948,0.09518463
949,0.09510391
950,0.09504834
951,0.09496997
952,0.094907545
953,0.09482663
954,0.09475909
955,0.0946859
956,0.09462492
957,0.09454871
958,0.094488874
959,0.09440919
960,0.0943491
961,0.09427764
962,0.09422084
963,0.09414394
964,0.09407343
965,0.09400706
966,0.09393775
967,0.0938761
968,0.09380651
969,0.0937389
970,0.09367139
971,0.09360786
972,0.09353344
973,0.09347041
974,0.093396954
975,0.09333657
976,0.09327278
977,0.09319849
978,0.09314477
979,0.093072064
980,0.09300277
981,0.092944354
982,0.09287699
983,0.09280464
984,0.092743374
985,0.09267622
986,0.09260791
987,0.09254088
988,0.09247986
989,0.092416376
990,0.09235608
991,0.09229321
992,0.09222571
993,0.09215782
994,0.09209677
995,0.09203092
996,0.09197131
997,0.09190801
998,0.09183514
999,0.09177387
