,0
0,0.07422118
1,-0.010040383
2,-0.08939977
3,0.10501834
4,0.045057632
5,-0.07282304
6,-0.12528506
7,-0.075353175
8,-0.011537784
9,-0.026156127
10,0.06815528
11,-0.03120303
12,-0.044192523
13,-0.17370696
14,-0.064275526
15,-0.07484905
16,-0.014279066
17,-0.005016248
18,-0.023087572
19,0.14668643
20,-0.10403355
21,0.063304745
22,0.052179337
23,0.03295198
24,-0.16921644
25,-0.013474674
26,0.053765178
27,0.0224688
28,-0.0030279427
29,0.091888726
30,0.04108679
31,0.12191164
32,-0.052502304
33,0.017914265
34,-0.07356076
35,-0.08933753
36,0.09780061
37,-0.16729407
38,0.04913826
39,0.008990873
40,0.070160374
41,-0.14459717
42,-0.0542968
43,0.0036244357
44,0.034965247
45,-0.061804246
46,-0.00017041733
47,0.0012979942
48,-0.047424708
49,0.06691129
50,-0.057171166
51,0.02460712
52,-0.072361074
53,0.09554137
54,0.06284009
55,0.03793326
56,-0.089163
57,-0.10025066
58,-0.14134914
59,-0.08696286
60,-0.06339582
61,-0.095065966
62,-0.053150054
63,0.025269642
