,Energy [eV]
0,0.1
1,1.10009
2,2.10018
3,3.10027
4,4.10036
5,5.10045
6,6.1005401
7,7.1006301
8,8.1007201
9,9.1008101
10,10.1009
11,11.10099
12,12.10108
13,13.10117
14,14.10126
15,15.10135
16,16.10144
17,17.10153
18,18.10162
19,19.10171
20,20.1018
21,21.10189
22,22.10198
23,23.10207
24,24.10216
25,25.10225
26,26.10234
27,27.10243
28,28.10252
29,29.10261
30,30.1027
31,31.10279
32,32.10288
33,33.10297
34,34.10306
35,35.10315
36,36.10324
37,37.10333
38,38.10342
39,39.10351
40,40.1036
41,41.10369
42,42.10378
43,43.10387
44,44.10396
45,45.10405
46,46.10414
47,47.10423
48,48.10432
49,49.10441
50,50.1045
51,51.10459
52,52.10468
53,53.10477
54,54.10486
55,55.10495
56,56.105041
57,57.105131
58,58.105221
59,59.105311
60,60.105401
61,61.105491
62,62.105581
63,63.105671
64,64.105761
65,65.105851
66,66.105941
67,67.106031
68,68.106121
69,69.106211
70,70.106301
71,71.106391
72,72.106481
73,73.106571
74,74.106661
75,75.106751
76,76.106841
77,77.106931
78,78.107021
79,79.107111
80,80.107201
81,81.107291
82,82.107381
83,83.107471
84,84.107561
85,85.107651
86,86.107741
87,87.107831
88,88.107921
89,89.108011
90,90.108101
91,91.108191
92,92.108281
93,93.108371
94,94.108461
95,95.108551
96,96.108641
97,97.108731
98,98.108821
99,99.108911
100,100.109
101,101.10909
102,102.10918
103,103.10927
104,104.10936
105,105.10945
106,106.10954
107,107.10963
108,108.10972
109,109.10981
110,110.1099
111,111.10999
112,112.11008
113,113.11017
114,114.11026
115,115.11035
116,116.11044
117,117.11053
118,118.11062
119,119.11071
120,120.1108
121,121.11089
122,122.11098
123,123.11107
124,124.11116
125,125.11125
126,126.11134
127,127.11143
128,128.11152
129,129.11161
130,130.1117
131,131.11179
132,132.11188
133,133.11197
134,134.11206
135,135.11215
136,136.11224
137,137.11233
138,138.11242
139,139.11251
140,140.1126
141,141.11269
142,142.11278
143,143.11287
144,144.11296
145,145.11305
146,146.11314
147,147.11323
148,148.11332
149,149.11341
150,150.1135
151,151.11359
152,152.11368
153,153.11377
154,154.11386
155,155.11395
156,156.11404
157,157.11413
158,158.11422
159,159.11431
160,160.1144
161,161.11449
162,162.11458
163,163.11467
164,164.11476
165,165.11485
166,166.11494
167,167.11503
168,168.11512
169,169.11521
170,170.1153
171,171.11539
172,172.11548
173,173.11557
174,174.11566
175,175.11575
176,176.11584
177,177.11593
178,178.11602
179,179.11611
180,180.1162
181,181.11629
182,182.11638
183,183.11647
184,184.11656
185,185.11665
186,186.11674
187,187.11683
188,188.11692
189,189.11701
190,190.1171
191,191.11719
192,192.11728
193,193.11737
194,194.11746
195,195.11755
196,196.11764
197,197.11773
198,198.11782
199,199.11791
200,200.118
201,201.11809
202,202.11818
203,203.11827
204,204.11836
205,205.11845
206,206.11854
207,207.11863
208,208.11872
209,209.11881
210,210.1189
211,211.11899
212,212.11908
213,213.11917
214,214.11926
215,215.11935
216,216.11944
217,217.11953
218,218.11962
219,219.11971
220,220.1198
221,221.11989
222,222.11998
223,223.12007
224,224.12016
225,225.12025
226,226.12034
227,227.12043
228,228.12052
229,229.12061
230,230.1207
231,231.12079
232,232.12088
233,233.12097
234,234.12106
235,235.12115
236,236.12124
237,237.12133
238,238.12142
239,239.12151
240,240.1216
241,241.12169
242,242.12178
243,243.12187
244,244.12196
245,245.12205
246,246.12214
247,247.12223
248,248.12232
249,249.12241
250,250.1225
251,251.12259
252,252.12268
253,253.12277
254,254.12286
255,255.12295
256,256.12304
257,257.12313
258,258.12322
259,259.12331
260,260.1234
261,261.12349
262,262.12358
263,263.12367
264,264.12376
265,265.12385
266,266.12394
267,267.12403
268,268.12412
269,269.12421
270,270.1243
271,271.12439
272,272.12448
273,273.12457
274,274.12466
275,275.12475
276,276.12484
277,277.12493
278,278.12502
279,279.12511
280,280.1252
281,281.12529
282,282.12538
