,time [fs]
0,2.1885808100269795e-32
1,4.6095277920389e-17
2,1.3119231634644916e-16
3,2.2261273517547095e-16
4,3.4033110954462383e-16
5,4.925351081721269e-16
6,6.778397498489221e-16
7,8.963800409404133e-16
8,1.1286359110566722e-15
9,1.3691086584766184e-15
10,1.6080212283422372e-15
11,1.814625814716423e-15
12,2.0008938290858745e-15
13,2.1767599104662664e-15
14,2.329269260404045e-15
15,2.4581160157268743e-15
16,2.572343356104618e-15
17,2.674619282455729e-15
18,2.765489198904018e-15
19,2.8480574399923686e-15
20,2.924980808021683e-15
21,2.9969217259815286e-15
22,3.0642066004255293e-15
23,3.127655667962403e-15
24,3.1880845197612914e-15
25,3.245834648266779e-15
26,3.300940270737975e-15
27,3.3536827189726873e-15
28,3.40447957589918e-15
29,3.453674439952651e-15
30,3.501470093823828e-15
31,3.5479989352129856e-15
32,3.593323236967724e-15
33,3.637487648431303e-15
34,3.680523158192351e-15
35,3.722444334510405e-15
36,3.763285619159357e-15
37,3.803129481549601e-15
38,3.842057906263527e-15
39,3.880146916850305e-15
40,3.917466484238109e-15
41,3.954073465032284e-15
42,3.990005874359066e-15
43,4.025296804002474e-15
44,4.059976218774303e-15
45,4.094071175089635e-15
46,4.127608775223977e-15
47,4.160617639336895e-15
48,4.193124648623034e-15
49,4.22515491372279e-15
50,4.256731790561464e-15
51,4.287876488694602e-15
52,4.3186078211974086e-15
53,4.348943289708449e-15
54,4.378899276179008e-15
55,4.408491096189708e-15
56,4.437733333896622e-15
57,4.466639932511011e-15
58,4.495224042982998e-15
59,4.523498066634902e-15
60,4.5514737111283384e-15
61,4.579161990754162e-15
62,4.606573255952754e-15
63,4.6337173063233816e-15
64,4.6606034238316436e-15
65,4.687240405818607e-15
66,4.7136366325252215e-15
67,4.7398000797574665e-15
68,4.765738335891061e-15
69,4.791458626626944e-15
70,4.816967836705456e-15
71,4.842272516455477e-15
72,4.867378917697426e-15
73,4.8922930145411006e-15
74,4.917020511125803e-15
75,4.941566857922445e-15
76,4.96593727323803e-15
77,4.9901367583145845e-15
78,5.0141700982409545e-15
79,5.038041880248908e-15
80,5.0617565024361755e-15
81,5.085318187089619e-15
82,5.108730986364514e-15
83,5.131998791379914e-15
84,5.155125346322128e-15
85,5.17811424319614e-15
86,5.2009689439068636e-15
87,5.223692781302976e-15
88,5.2462889598653396e-15
89,5.268760565292823e-15
90,5.29111057351114e-15
91,5.313341853955027e-15
92,5.335457177572921e-15
93,5.3574592106381445e-15
94,5.379350526682083e-15
95,5.4011336161534066e-15
96,5.422810884883055e-15
97,5.444384651786988e-15
98,5.465857158831926e-15
99,5.487230581315886e-15
100,5.50850701865314e-15
101,5.5296884947668115e-15
102,5.5507769806405176e-15
103,5.571774381828824e-15
104,5.592682533092313e-15
105,5.613503222723584e-15
106,5.6342381857815175e-15
107,5.654889096842623e-15
108,5.675457575993384e-15
109,5.695945203023754e-15
110,5.716353511136282e-15
111,5.736683982412156e-15
112,5.756938056038735e-15
113,5.777117130300029e-15
114,5.7972225649761735e-15
115,5.817255681116428e-15
116,5.8372177530208855e-15
117,5.857110028388842e-15
118,5.8769337235159546e-15
119,5.896690007835283e-15
120,5.9163800288188844e-15
121,5.936004902748667e-15
122,5.955565706894676e-15
123,5.975063495008105e-15
124,5.994499293376563e-15
125,6.013874101815982e-15
126,6.033188894339422e-15
127,6.052444613909207e-15
128,6.07164217969318e-15
129,6.09078249369535e-15
130,6.109866433077275e-15
131,6.128894850185649e-15
132,6.147868570010723e-15
133,6.166788401563781e-15
134,6.18565514322797e-15
135,6.204469565973587e-15
136,6.223232417292435e-15
137,6.2419444317302266e-15
138,6.260606329330498e-15
139,6.2792188047946805e-15
140,6.297782537798721e-15
141,6.3162982013183625e-15
142,6.3347664429569615e-15
143,6.353187894756746e-15
144,6.371563180483402e-15
145,6.389892905654539e-15
146,6.408177661802787e-15
147,6.426418028998667e-15
148,6.444614575345636e-15
149,6.462767852104057e-15
150,6.480878397877177e-15
151,6.4989467435785525e-15
152,6.516973406057085e-15
153,6.534958893529776e-15
154,6.552903701538878e-15
155,6.570808314880621e-15
156,6.58867320789702e-15
157,6.6064988448534965e-15
158,6.624285678872844e-15
159,6.642034156359696e-15
160,6.6597447151903975e-15
161,6.677417780592835e-15
162,6.6950537749644885e-15
163,6.7126531087605206e-15
164,6.730216173863654e-15
165,6.747743369135421e-15
166,6.765235087251285e-15
167,6.78269170506305e-15
168,6.800113589821852e-15
169,6.8175011067745574e-15
170,6.834854615570568e-15
171,6.8521744655994635e-15
172,6.869460999317034e-15
173,6.886714555570863e-15
174,6.903935468152658e-15
175,6.921124054772776e-15
176,6.938280638701939e-15
177,6.955405539433548e-15
178,6.972499060281458e-15
179,6.989561502722549e-15
180,7.006593165467744e-15
181,7.023594341587899e-15
182,7.040565319751579e-15
183,7.057506378173547e-15
184,7.074417795216327e-15
185,7.09129984530111e-15
186,7.10815279639401e-15
187,7.124976911430029e-15
188,7.141772448724405e-15
189,7.158539667119283e-15
190,7.175278818167162e-15
191,7.191990146080654e-15
192,7.208673896505736e-15
193,7.225330312344844e-15
194,7.241959625603489e-15
195,7.258562066297543e-15
196,7.275137864833993e-15
197,7.291687248426335e-15
198,7.308210443098467e-15
199,7.324707665351972e-15
200,7.3411791241059e-15
201,7.357625035811323e-15
202,7.374045616333447e-15
203,7.39044107191597e-15
204,7.406811601749506e-15
205,7.423157405120308e-15
206,7.439478681206506e-15
207,7.455775628843251e-15
208,7.472048444188824e-15
209,7.488297313423409e-15
210,7.504522423900363e-15
211,7.520723963834779e-15
212,7.536902114421298e-15
213,7.553057059281463e-15
214,7.569188976927778e-15
215,7.585298040260903e-15
216,7.601384427433019e-15
217,7.61744831244037e-15
218,7.633489863722254e-15
219,7.649509244553101e-15
220,7.665506622965263e-15
221,7.681482169460044e-15
222,7.697436044684389e-15
223,7.713368406669635e-15
224,7.729279417685188e-15
225,7.745169231000035e-15
226,7.761037999341286e-15
227,7.776885883559465e-15
228,7.792713037435083e-15
229,7.80851960235084e-15
230,7.824305724227508e-15
231,7.840071558060911e-15
232,7.855817251478538e-15
233,7.871542945162576e-15
234,7.887248784510124e-15
235,7.902934909285243e-15
236,7.918601456647592e-15
237,7.934248568878684e-15
238,7.94987637979756e-15
239,7.965485025444748e-15
240,7.981074643764473e-15
241,7.996645363903065e-15
242,8.012197317308425e-15
243,8.027730633066168e-15
244,8.043245439685802e-15
245,8.058741873844503e-15
246,8.074220058729037e-15
247,8.089680113477587e-15
248,8.10512216661452e-15
249,8.120546344006999e-15
250,8.135952764958679e-15
251,8.15134154917259e-15
252,8.166712815868237e-15
253,8.182066684645034e-15
254,8.197403276363242e-15
255,8.212722705370132e-15
256,8.228025082558264e-15
257,8.24331052174526e-15
258,8.258579139572405e-15
259,8.273831053643463e-15
260,8.289066368063349e-15
261,8.304285189695498e-15
262,8.319487634131167e-15
263,8.334673805345306e-15
264,8.349843810769487e-15
265,8.364997755020067e-15
266,8.38013573656174e-15
267,8.395257869571812e-15
268,8.41036426171511e-15
269,8.425455003359744e-15
270,8.44053019403237e-15
271,8.455589936845675e-15
272,8.470634332017394e-15
273,8.485663473801467e-15
274,8.500677458100593e-15
275,8.515676377242059e-15
276,8.530660244272556e-15
277,8.545629020359331e-15
278,8.560582816438322e-15
279,8.575521747648525e-15
280,8.590445911625978e-15
281,8.605355398243479e-15
282,8.620250292958362e-15
283,8.635130695482627e-15
284,8.649996702725378e-15
285,8.66484839976088e-15
286,8.67968587363193e-15
287,8.694509210261338e-15
288,8.709318502583369e-15
289,8.724113837834541e-15
290,8.738895312107105e-15
291,8.753663006982925e-15
292,8.768416933710784e-15
293,8.783157014199196e-15
294,8.797883097021096e-15
295,8.812595128065985e-15
296,8.827293156238918e-15
297,8.841977154890946e-15
298,8.856646937621208e-15
299,8.871302366999266e-15
300,8.885943509701309e-15
301,8.900570512728834e-15
302,8.915183500291352e-15
303,8.929782564995638e-15
304,8.944367842175716e-15
305,8.958939435450458e-15
306,8.973497121215187e-15
307,8.988040908864137e-15
308,9.002570981606926e-15
309,9.017087481613848e-15
310,9.031590125875653e-15
311,9.046078445395145e-15
312,9.060552237128382e-15
313,9.07501160225502e-15
314,9.08945667033284e-15
315,9.103887594457063e-15
316,9.11830439807185e-15
317,9.132706602268365e-15
318,9.147093840123941e-15
319,9.16146588384803e-15
320,9.175821971091911e-15
321,9.190161770457876e-15
322,9.204485039868404e-15
323,9.21879131318621e-15
324,9.23308057741088e-15
325,9.247352742654924e-15
326,9.261607886166634e-15
327,9.275845975995893e-15
328,9.290066485236417e-15
329,9.30426857446411e-15
330,9.318452113139614e-15
331,9.332617187870918e-15
332,9.346763712498919e-15
333,9.360891491086553e-15
334,9.375000354713961e-15
335,9.389090402098734e-15
336,9.40316160795139e-15
337,9.417212931193205e-15
338,9.431243590038967e-15
339,9.445253418002981e-15
340,9.45924229926297e-15
341,9.473210164585895e-15
342,9.48715683128418e-15
343,9.501082091365428e-15
344,9.514985051632542e-15
345,9.528865252374909e-15
346,9.542722571813053e-15
347,9.556557016791314e-15
348,9.570368194410377e-15
349,9.584155690958472e-15
350,9.597918882345975e-15
351,9.611656897888755e-15
352,9.62536960879913e-15
353,9.63905681791846e-15
354,9.652718681050321e-15
355,9.666355515377576e-15
356,9.679967441831881e-15
357,9.693554497282417e-15
358,9.707116620496006e-15
359,9.720653816552776e-15
360,9.734165887316635e-15
361,9.747652521551821e-15
362,9.761113292362814e-15
363,9.774548195709654e-15
364,9.787957399851863e-15
365,9.80134090655206e-15
366,9.814698975221039e-15
367,9.828032114210876e-15
368,9.841340832085458e-15
369,9.854625232526216e-15
370,9.867885302929894e-15
371,9.881121177290468e-15
372,9.894332907342258e-15
373,9.907520942650188e-15
374,9.920685671354943e-15
375,9.933826029362216e-15
376,9.946940756895654e-15
377,9.960029922099397e-15
378,9.973093944830286e-15
379,9.986133108512556e-15
380,9.999147332146281e-15
381,1.0012136161970333e-14
382,1.0025099433802336e-14
383,1.0038037156280701e-14
384,1.0050949704302745e-14
385,1.006383757172633e-14
386,1.0076701117079445e-14
387,1.0089540792844549e-14
388,1.0102356995500322e-14
389,1.011514959804929e-14
390,1.0127918483192119e-14
391,1.014066364760382e-14
392,1.015338535085378e-14
393,1.0166083944138013e-14
394,1.0178759596758578e-14
395,1.0191412360242048e-14
396,1.0204041989754967e-14
397,1.0216648344239034e-14
398,1.0229231569821887e-14
399,1.0241791755007306e-14
400,1.0254328912822597e-14
401,1.0266843392053577e-14
402,1.0279335472431193e-14
403,1.0291804455948164e-14
404,1.0304249467826079e-14
405,1.031667042909181e-14
406,1.0329067561248252e-14
407,1.0341441024266262e-14
408,1.0353791174678318e-14
409,1.0366118534316686e-14
410,1.0378423527577745e-14
411,1.0390706413653908e-14
412,1.04029674041311e-14
413,1.0415206704795556e-14
414,1.04274245936228e-14
415,1.0439621391261196e-14
416,1.0451797476445805e-14
417,1.0463953311711399e-14
418,1.0476089218902559e-14
419,1.0488205384101421e-14
420,1.050030200703722e-14
421,1.0512379299345638e-14
422,1.052443755630594e-14
423,1.0536477097860589e-14
424,1.0548498198782899e-14
425,1.0560501140811368e-14
426,1.0572486252527332e-14
427,1.0584453862050273e-14
428,1.0596404249984954e-14
429,1.0608337710793818e-14
430,1.0620254699274887e-14
431,1.0632155431764896e-14
432,1.0644039523606735e-14
433,1.0655906880045537e-14
434,1.0667757964214819e-14
435,1.0679593151176715e-14
436,1.0691412698908121e-14
437,1.0703216890500924e-14
438,1.0715006029627477e-14
439,1.0726780414696175e-14
440,1.073854033463462e-14
441,1.0750286063409801e-14
442,1.0762017902336623e-14
443,1.0773736196298264e-14
444,1.0785441193814697e-14
445,1.079713304942764e-14
446,1.0808811963593483e-14
447,1.0820478061800293e-14
