,0
0,-0.02752833
1,0.03967717
2,0.12660435
3,0.00096482714
4,-0.20910028
5,0.03876874
6,0.044445466
7,0.03873879
8,0.1570849
9,0.08118873
10,0.07887104
11,-0.017113237
12,0.026298866
13,0.022306748
14,0.051466
15,0.02972543
16,-0.046108946
17,0.029950066
18,0.033313606
19,-0.008205797
20,-0.060917854
21,-0.027922785
22,-0.0018557628
23,0.08106787
24,0.048765477
25,0.07027346
26,-0.020367239
27,0.06833344
28,-0.05368819
29,0.015823223
30,0.013810192
31,0.01770621
32,-0.13502455
33,0.049003053
34,-0.068134874
35,0.055956565
36,0.10327196
37,-0.11796927
38,-0.083255604
39,0.074794516
40,-0.14046758
41,0.1309078
42,-0.083389856
43,0.06704253
44,-0.086258285
45,-0.15523961
46,0.039238162
47,-0.09989706
48,-0.103778966
49,-0.1938431
50,0.07299554
51,-0.12562554
52,-0.093736894
53,-0.12679246
54,-0.09026299
55,-0.25988457
56,-0.044213053
57,0.040662616
58,0.10809927
59,-0.05871047
60,-0.06342705
61,0.0025158569
62,-0.09921367
63,0.06577269
