,0
0,0.124277286
1,0.120914295
2,0.14522067
3,0.131459
4,-0.1894147
5,0.17830864
6,-0.17198847
7,0.002974345
8,-0.22173826
9,-0.11999298
10,-0.20765273
11,0.15928264
12,0.15345518
13,0.17858873
14,0.13462137
15,0.14463255
16,0.16763718
17,-0.14150171
18,0.16505088
19,-0.208053
20,-0.1447939
21,-0.11835933
22,-0.17531866
23,0.1722216
24,0.157262
25,-0.14098173
26,0.15608768
27,0.21608095
28,0.1565594
29,0.150819
30,-0.14924572
31,0.14643691
32,0.14558578
33,0.14044958
34,-0.23025908
35,0.07766241
36,0.20050727
37,0.13591902
38,-0.20224883
39,0.17786077
40,-0.21244335
41,0.120676324
42,0.15362813
43,0.12393537
44,0.14010613
45,0.14137213
46,0.14585532
47,0.12349058
48,0.13803813
49,-0.21619302
50,-0.20405039
51,-0.17072046
52,0.15964904
53,0.14727542
54,-0.26576838
55,0.113073505
56,0.11129918
57,0.19425371
58,0.17623618
59,0.16012533
60,-0.2033927
61,0.14076625
62,-0.19625592
63,0.16128214
64,0.14369167
65,0.14574331
66,0.1508471
67,0.19192106
68,0.12759615
69,0.1541976
70,0.19421913
71,-0.20907721
72,0.13345462
73,0.18486837
74,0.18311615
75,-0.2397222
76,-0.20871107
77,-0.21416555
78,-0.19084923
79,0.15337704
80,0.16420512
81,-0.13899463
82,0.11096738
83,0.17478783
84,0.12260359
85,-0.19831264
86,-0.24467413
87,0.12654696
88,-0.20242754
89,0.115722135
90,0.13535187
91,0.12025768
92,0.10527487
93,-0.20401312
94,0.18463439
95,0.1674
96,0.1251467
97,-0.058823366
98,-0.16567111
99,-0.090200864
