,0
0,0.048101
1,0.003430626
2,0.03818188
3,0.078002095
4,0.10747361
5,0.052053254
6,0.046280216
7,0.047681097
8,-0.03307155
9,-0.07008787
10,-0.061784983
11,0.11909183
12,0.07137786
13,-0.036433578
14,-0.011118842
15,0.035461362
16,0.0332402
17,-0.120914035
18,0.15070364
19,0.075678095
20,0.00866542
21,0.07553206
22,-0.049460463
23,0.073771305
24,-0.2302781
25,0.07747236
26,0.015004898
27,0.10087267
28,0.11031154
29,-0.07709755
30,0.0029065262
31,-0.09836477
32,0.037308678
33,-0.16296598
34,0.11245656
35,0.033759434
36,0.044857193
37,-0.103838325
38,-0.06126591
39,0.0509199
40,-0.05233136
41,0.061220516
42,0.15822884
43,-0.011826062
44,0.09760117
45,-0.015309
46,0.034902655
47,0.035207678
48,-0.14344488
49,-0.23516849
50,-0.22702204
51,0.15812118
52,0.012269487
53,-0.056157835
54,0.08942333
55,-0.0508158
56,0.008427337
57,0.038336944
58,0.062324516
59,-0.013735823
60,-0.09475952
61,0.05272261
62,-0.13075341
63,-0.23770054
