,0
0,0.004670973
1,0.0042210016
2,-0.002201541
3,0.0050867274
4,1.5908605e-05
5,0.0012175307
6,0.0019655863
7,-0.0022339034
8,-0.006619212
9,-0.001267751
10,0.0005765953
11,-0.00021512613
12,0.0017105354
13,-0.0030413365
14,-0.0014410702
15,0.009939791
16,0.009423417
17,0.00032296253
18,-0.005380093
19,0.0027752034
20,-0.00053674396
21,0.02011924
22,0.0030696602
23,0.0006719394
24,-0.0033140467
25,0.00176625
26,0.0035675808
27,0.0067159203
28,-0.0075786794
29,-0.0041145054
30,-0.00801362
31,-0.00488218
32,0.008013727
33,0.006113387
34,0.0016261851
35,0.0029135295
36,0.0015058308
37,0.0063150516
38,0.008013078
39,0.0029531405
40,0.0063266032
41,0.0019972476
42,0.007071577
43,0.008770782
44,-0.002196779
45,0.0014239411
46,0.0024644593
47,-0.0007515659
48,0.0048723365
49,0.007607023
50,0.0006372323
51,0.004449719
52,-0.0044496544
53,0.006676243
54,0.007991601
55,-0.006975735
56,-0.00068621914
57,0.0017096718
58,0.0070056943
59,0.008811497
60,-0.0009016182
61,-0.002295207
62,-0.0011984865
63,0.010137008
64,0.010171235
65,0.0038531222
66,0.010484604
67,0.0041635204
68,0.0070155156
69,0.011552421
70,0.00071999367
71,0.0055338866
72,0.011260141
73,0.00800407
74,-0.0018960119
75,-0.0073270365
76,0.009576123
77,0.003364913
78,0.0020169849
79,0.0026811257
80,0.0044312687
81,0.012310741
82,0.0018684258
83,-0.00013966317
84,0.013903684
85,0.017520443
86,0.001953425
87,-0.0052134595
88,-0.0027697107
89,0.004697559
90,0.009862471
91,-0.0033080648
92,0.006523667
93,0.004647588
94,0.010391584
95,0.0050971447
96,0.009005421
97,0.012229325
98,0.004319578
99,-0.0018300727
100,0.011777819
101,9.724203e-05
102,0.008768987
103,0.004721497
104,0.0076795444
105,0.008705293
106,0.012898903
107,0.0040852292
108,0.013800083
109,-0.000495011
110,0.010759936
111,0.004820647
112,0.0074471873
113,0.003465291
114,0.008431126
115,0.005782074
116,0.01337346
117,0.00831303
118,0.004201432
119,0.014293228
120,0.005748233
121,0.017325774
122,0.016016781
123,0.017692123
124,0.011417677
125,0.012035298
126,-0.0076471646
127,0.010049344
128,0.000110259934
129,0.00563765
130,0.0070506134
131,0.006995106
132,0.010981115
133,0.008340207
134,0.012727701
135,0.0018192815
136,0.007022468
137,-0.00045058836
138,0.0114243375
139,0.005103365
140,0.010039058
141,0.003485812
142,0.002278347
143,0.0051778746
144,0.012345726
145,0.01155948
146,0.009332107
147,0.014466494
148,0.0011975572
149,0.01094619
150,0.0127169965
151,0.0093969125
152,0.012536828
153,0.00831869
154,0.0067681093
155,0.006888012
156,0.006614375
157,0.0034482714
158,0.0020241258
159,0.0071767727
160,0.008164203
161,0.003940948
162,0.0075999433
163,0.019434648
164,-0.00060896564
165,0.0070205373
166,0.009620806
167,0.0048651383
168,0.012756067
169,0.008344455
170,0.01753533
171,0.01852066
172,0.015449134
173,0.004564915
174,0.008729439
175,0.014448669
176,0.00741395
177,0.010960669
178,0.006197534
179,0.0005427811
180,0.017981084
181,0.010451019
182,0.010382952
183,0.016753925
184,0.0013385076
185,-0.0026271367
186,0.0061722775
187,0.018666575
188,0.015351506
189,0.0037971376
190,0.012351472
191,0.0016508575
192,0.008138541
193,0.005729213
194,0.016901573
195,0.008564889
196,0.010539071
197,0.011407421
198,0.010663434
199,0.008409926
200,0.011015427
201,-0.0009473951
202,0.009756628
203,0.015018777
204,0.0057309414
205,0.002481743
206,0.0040999143
207,0.018136663
208,0.012137333
209,0.019707669
210,0.008356617
211,0.01339315
212,0.008620519
213,0.007047809
214,0.018472755
215,0.007674791
216,0.015088745
217,0.010786661
218,0.0094245095
219,0.0061405376
220,0.016375134
221,0.016891327
222,0.0101531055
223,0.013212905
224,0.008909026
225,0.00824052
226,0.012329005
227,0.012711195
228,0.0042865225
229,0.014982879
230,0.015552053
231,0.006136327
232,0.009391187
233,0.013590625
234,0.018295527
235,0.0061121755
236,0.006920153
237,0.00054796704
238,0.008623112
239,0.014153392
240,0.011734231
241,0.008179958
242,0.019854058
243,0.0075293994
244,0.0072208988
245,0.00235738
246,0.013345076
247,0.014114136
248,0.0028236108
249,0.010330425
250,0.01564616
251,0.013392031
252,0.008238342
253,0.010635014
254,0.007249804
255,0.013844773
256,0.0056494777
257,0.008156557
258,0.014103675
259,0.0153239
260,0.011416532
261,0.010121709
262,0.00544908
263,0.015065885
264,0.019120324
265,0.0028159774
266,0.007244705
267,0.011034418
268,0.014236971
269,0.0058192597
270,0.009829948
271,0.008980522
272,0.005836967
273,0.012361707
274,0.0055012065
275,0.013258426
276,0.006317171
277,0.0121689895
278,0.016067263
279,0.010667509
280,0.012232771
281,0.013976021
282,0.007414191
283,0.009786343
284,0.010935282
285,-0.004768076
286,0.009043134
287,0.016189676
288,0.01988315
289,0.022104897
290,0.010177654
291,0.018597228
292,0.016173843
293,0.0054193297
294,0.01716985
295,0.0028323056
296,0.017161801
297,0.0115813045
298,0.01125948
299,0.0038656814
300,0.016325802
301,0.018109998
302,0.009637524
303,0.019898357
304,0.0054634293
305,0.01324225
306,0.011637085
307,0.007721921
308,0.011378148
309,0.0102599
310,0.008632232
311,0.012096691
312,0.01096089
313,0.0012492755
314,0.0014071412
315,0.0064517716
316,0.005601843
317,0.008571918
318,0.008942194
319,0.007582191
320,0.006266384
321,3.620601e-05
322,0.0055656927
323,0.018761825
324,0.008389581
325,-0.0073670545
326,0.018470485
327,0.012602548
328,0.008676303
329,0.00599593
330,0.005631687
331,0.0022715302
332,0.0077259936
333,0.0036028465
334,0.009617359
335,0.011267751
336,0.017527383
337,0.009717898
338,0.010422877
339,0.009943081
340,0.005228083
341,0.0055156145
342,0.009570059
343,0.008795038
344,0.0076426845
345,0.0016221524
346,0.0139182545
347,0.0021228306
348,-0.0004411538
349,0.0042390376
350,0.0013117797
351,0.002759953
352,0.01485902
353,0.008594411
354,0.01165768
355,0.01452405
356,0.00072106224
357,0.0025175426
358,0.010276378
359,0.0068804664
360,0.010689759
361,0.01215427
362,0.00410512
363,0.009828772
364,0.009391562
365,0.004975754
366,0.01838067
367,0.016216086
368,0.011625391
369,0.0029333222
370,0.011554566
371,0.007568544
372,0.011399309
373,0.006696009
374,0.016971156
375,0.004869357
376,0.006038274
377,0.014285222
378,0.009795157
379,0.004423015
380,0.015786551
381,0.010538351
382,0.0011961979
383,0.008295719
384,0.012105219
385,0.0060716956
386,0.009324837
387,-0.0044431863
388,0.0114476755
389,0.0043821502
390,0.012414951
391,0.007469943
392,0.010509713
393,0.013261304
394,0.017873587
395,0.0018346395
396,0.0059621795
397,0.010774581
398,0.008405776
399,0.010445939
400,0.0119143585
401,0.009631202
402,0.010138146
403,0.015765285
404,0.008316507
405,0.008522996
406,0.009217109
407,0.009801896
408,0.016572492
409,0.0075208824
410,0.01345822
411,0.014466484
412,0.006016419
413,0.015733967
414,0.01640249
415,0.0028187677
416,0.0021867605
417,0.0075305067
418,0.012885799
419,-0.0005058907
420,0.008193638
421,0.010995508
422,-0.0022942615
423,0.011501655
424,0.0057108607
425,0.010594627
426,0.011299479
427,0.0060446863
428,0.0067060026
429,0.014446378
430,0.007205084
431,0.00030759812
432,0.0067390264
433,0.00035849414
434,0.017145883
435,0.0072436784
436,0.0030511597
437,0.0011509858
438,0.007010082
439,0.009875928
440,0.015785854
441,-0.0062378882
442,0.008640699
443,0.0139188515
444,0.013992011
445,0.013256235
446,0.013185916
447,0.010235917
448,0.008317019
449,0.0005180663
450,0.009874475
451,0.016024569
452,0.0006960775
453,0.001630625
454,0.0052856253
455,0.011769424
456,0.0030906068
457,0.007351472
458,-0.007866338
459,0.0053201006
460,0.006081758
461,0.004983829
462,-0.0049441457
463,0.006179295
464,-0.0042347773
465,-0.0008155842
466,0.011588715
467,0.005616373
468,0.0158461
469,0.01563095
470,0.0121972915
471,0.0075605563
472,0.010217448
473,0.0073932013
474,0.013188595
475,0.007869346
476,0.0012486235
477,0.012112535
478,0.00032673427
479,0.010789649
480,0.010527851
481,0.008277446
482,0.0075034928
483,0.0074148336
484,0.009339405
485,0.007547892
486,0.004088231
487,0.0050136847
488,0.0099681355
489,0.0010685689
490,0.008918281
491,0.0036633252
492,0.0034003013
493,0.013416651
494,-0.0012725284
495,0.011244983
496,0.007536618
497,0.0027443364
498,0.0024068987
499,0.010948069
500,0.0049720295
501,0.0049711782
502,0.004420976
503,0.007573917
504,0.008530484
505,-0.007151924
506,0.011506648
507,0.006501635
508,-0.0040532346
509,0.0003302263
510,0.0031670295
511,0.0068141394
512,0.00092824985
513,0.010949971
514,0.010422658
515,0.013582413
516,0.007209048
517,0.01696756
518,0.0055466304
519,0.008020223
520,0.0018188887
521,-0.00047615205
522,0.008706925
523,0.013973369
524,0.005917268
525,0.0060742507
526,0.0020671512
527,-0.0077577815
528,0.0043550045
529,-0.004199717
530,0.0044654626
531,0.00542229
532,0.0020217295
533,0.006824384
534,0.002285029
535,0.0078613665
536,0.005951642
537,0.007687548
538,-0.0030162781
539,0.0060791126
540,0.001472239
541,0.010424556
542,0.0073684826
543,0.01394671
544,-0.0031562296
545,0.0022777505
546,0.0039663427
547,0.0060520363
548,5.847522e-05
549,0.011939291
550,0.0048738737
551,0.008719157
552,0.006227099
553,0.0061743353
554,0.006237697
555,-0.008680736
556,0.010464104
557,0.0040600593
558,0.011332095
559,0.011719278
560,-9.8819364e-05
561,0.005755978
562,0.005396544
563,0.0101201935
564,0.010126869
565,0.0058401474
566,0.004188287
567,-0.0015207658
568,-0.0004223601
569,0.005261471
570,0.008514719
571,0.0088906465
572,0.0043910253
573,0.008343914
574,-0.0016099367
575,0.010536654
576,0.002502847
577,0.0064659375
578,0.002675595
579,0.0020583745
580,0.0082700625
581,0.0061008492
582,0.004409111
583,0.0017254633
584,0.006974978
585,-0.0010351395
586,0.0067498866
587,0.00076451205
588,0.0012433452
589,-0.0002290968
590,0.0015399683
591,0.0012721672
592,-6.554299e-05
593,0.00780957
594,0.0032713318
595,-0.0026555583
596,0.008128955
597,0.005325178
598,-0.0025740273
599,-0.006858145
600,-5.4853772e-05
601,0.008035312
602,0.0066131363
603,0.008242818
604,0.0034551395
605,0.012339325
606,0.0033395945
607,-0.0021960733
608,0.0077482425
609,0.0032626877
610,0.002737991
611,0.008072125
612,0.011630801
613,0.0033668631
614,-0.0013881875
615,0.009220192
616,0.0026048163
617,0.0041555283
618,0.010823718
619,0.004762236
620,0.0028288916
621,0.0034352103
622,0.006588334
623,-0.0030003043
624,-0.0046227328
625,0.0050883945
626,-0.0038395373
627,-0.0026756022
628,0.002182945
629,-0.0045720288
630,0.006893098
631,0.0065930686
632,0.0009014905
633,0.003805814
634,-0.006498389
635,0.003049466
636,0.0018338916
637,-0.00048374265
638,-0.0039889836
639,-0.011931273
640,0.0040852786
641,6.551405e-05
642,0.00504602
643,0.009800767
644,-0.0031393876
645,0.000113210495
646,0.004206817
647,0.005434717
648,0.0031115112
649,0.005181581
650,0.0078421235
651,0.0010150211
652,-0.0031659717
653,0.005097207
654,-0.0020714272
655,0.004097988
656,0.005557519
657,-0.0005087487
658,0.004498784
659,0.008326569
660,0.0016209149
661,0.0018722395
662,0.008257715
663,0.008394463
664,0.0020050681
665,0.0013106933
666,0.0016076559
667,0.0016065043
668,-0.0011022069
669,0.008470104
670,0.0048602517
671,0.0041655535
672,0.002635819
673,-0.0018142274
674,-0.00053975126
675,-0.0063739824
676,-0.0015377766
677,0.004740125
678,0.0047277133
679,0.004010919
680,0.0012918169
681,0.0049357624
682,0.009088633
683,0.0023717468
684,0.0010609297
685,0.009694099
686,0.00067227957
