,0
0,0.023324465
1,0.028603986
2,0.04043463
3,0.011621054
4,-0.041202754
5,-0.034397162
6,0.07487418
7,-0.046117548
8,0.09922163
9,-0.1193692
10,0.0280814
11,0.068121344
12,-0.015371707
13,-0.019992415
14,-0.03128916
15,-0.019791389
16,0.057037253
17,0.055690005
18,-0.035270352
19,-0.046770472
20,-0.055684783
21,0.05404065
22,0.04904376
23,0.012503124
24,-0.07697126
25,-0.14404911
26,0.025720064
27,0.049237456
28,-0.03153787
29,0.014342819
30,0.042036496
31,0.06270018
32,0.08239243
33,-0.02426377
34,0.06663293
35,-0.07794525
36,-0.05047079
37,-0.056773353
38,-0.04255589
39,0.0777555
40,0.013124851
41,-0.026291072
42,-0.04757521
43,-0.101887606
44,-0.0112223625
45,0.016315112
46,-0.03617221
47,-0.111308604
48,-0.023316987
49,-0.026489154
50,-0.031883698
51,-0.019763885
52,-0.0021858772
53,0.065953635
54,-0.07806674
55,-0.07415464
56,0.0582309
57,0.009363533
58,-0.041991856
59,-0.0063202525
60,-0.06415417
61,0.024820061
62,-0.029303046
63,0.045060437
