,0
0,-0.0127370665
1,-0.122740954
2,0.096082635
3,-0.05653547
4,-0.08157369
5,0.042848323
6,-0.017275615
7,0.04061984
8,-0.021906994
9,0.049463745
10,-0.05565523
11,-0.03096181
12,0.0343847
13,0.011657471
14,-0.002165303
15,-0.10675081
16,-0.110738434
17,0.030154802
18,0.00860333
19,0.016061421
20,-0.18453555
21,-0.047624428
22,-0.044369437
23,0.08041329
24,0.027865216
25,-0.037263174
26,-0.12707922
27,-0.019808
28,-0.1352332
29,-0.015731573
30,-0.27954277
31,0.08782726
32,-0.0143216625
33,0.121034786
34,0.008398455
35,-0.010229929
36,-0.033389248
37,0.10528887
38,-0.1586957
39,0.0047464655
40,-0.18064226
41,-0.012440655
42,0.13773726
43,-0.087729424
44,0.022381928
45,0.1306159
46,0.049347814
47,-0.05480217
48,0.03756024
49,-0.11521826
50,0.062484477
51,0.02369064
52,-0.027759166
53,-0.0077112885
54,0.09688893
55,0.0390318
56,-0.15928972
57,0.043449514
58,0.093419515
59,-0.008559966
60,0.033045705
61,0.05062774
62,0.048736796
63,0.09015852
