,0
0,1.0013044
1,1.0013043
2,1.0013045
3,1.0013044
4,1.0013043
5,1.0013045
6,1.0013044
7,1.0013045
8,1.0013045
9,1.0013044
10,1.0013045
11,1.0013044
12,1.0013043
13,1.0013043
14,1.0013045
15,0.8800539
16,0.71459997
17,0.52983177
18,0.34752142
19,0.25740293
20,0.18942875
21,0.1433603
22,0.11075433
23,0.09536796
24,0.08219273
25,0.075145505
26,0.07115863
27,0.06730513
28,0.06698926
29,0.06767578
30,0.06901557
31,0.07032791
32,0.072191074
33,0.07448949
34,0.07707145
35,0.08035594
36,0.08405079
37,0.088754766
38,0.09342191
39,0.09853378
40,0.10419334
41,0.10992229
42,0.11545891
43,0.121530905
44,0.12723565
45,0.13283472
46,0.13835974
47,0.14309824
48,0.14817646
49,0.15204959
50,0.15592855
51,0.16048932
52,0.16440104
53,0.1689221
54,0.173658
55,0.17869075
56,0.18391581
57,0.18927594
58,0.19382699
59,0.19858012
60,0.20317985
61,0.20769687
62,0.21223961
63,0.21658166
64,0.22094227
65,0.22491366
66,0.22832698
67,0.2317841
68,0.23509148
69,0.23783667
70,0.24048789
71,0.24280028
72,0.2449568
73,0.24681117
74,0.24837323
75,0.24964665
76,0.2507918
77,0.25170013
78,0.25243944
79,0.25303218
80,0.2534233
81,0.2537317
82,0.25390375
83,0.2539849
84,0.253946
85,0.2538555
86,0.25365412
87,0.25341624
88,0.25314727
89,0.25282463
90,0.2525281
91,0.25216728
92,0.25177503
93,0.2513877
94,0.2510163
95,0.25062135
96,0.25021932
97,0.24981953
98,0.24941584
99,0.24900642
100,0.24859828
101,0.24822101
102,0.24784283
103,0.24746394
104,0.24708718
105,0.2467293
106,0.24634261
107,0.24599724
108,0.24563587
109,0.24529256
110,0.24494165
111,0.24460323
112,0.24426642
113,0.24394524
114,0.24361943
115,0.2433021
116,0.24299856
117,0.24268033
118,0.24236013
119,0.24207962
120,0.2417771
121,0.24149215
122,0.24119818
123,0.24091057
124,0.2406329
125,0.2403415
126,0.24007279
127,0.23979631
128,0.23952474
129,0.23925231
130,0.23899747
131,0.23873076
132,0.23847689
133,0.23821199
134,0.23795345
135,0.23770559
136,0.23745205
137,0.23720641
138,0.2369643
139,0.23671038
140,0.23647924
141,0.23623
142,0.23589545
143,0.23549691
144,0.23516768
145,0.23475932
146,0.23445575
147,0.23403926
148,0.23369762
149,0.23330933
150,0.23298487
151,0.23258466
152,0.2322669
153,0.23197272
154,0.2315665
155,0.23126031
156,0.23095506
157,0.23054647
158,0.230236
159,0.2299287
160,0.22954556
161,0.22922643
162,0.22892664
163,0.22863412
164,0.22823411
165,0.22793062
166,0.22762531
167,0.2273406
168,0.22703382
169,0.22663836
170,0.22636402
171,0.22604372
172,0.22576372
173,0.22547506
174,0.22516233
175,0.2248793
176,0.22453338
177,0.22420523
178,0.22392167
179,0.22354102
180,0.2232421
181,0.22294249
182,0.22255693
183,0.22225733
184,0.22196873
185,0.2216754
186,0.22137952
187,0.22099712
188,0.2207246
189,0.22042865
190,0.22014585
191,0.21985137
192,0.21957178
193,0.21927592
194,0.21899255
195,0.2187318
196,0.21844776
197,0.21817005
198,0.21780142
199,0.2175442
200,0.21726704
201,0.21698003
202,0.21671967
203,0.21651423
204,0.21624361
205,0.21595578
206,0.2157008
207,0.21542759
208,0.21516432
209,0.21489301
210,0.21460702
211,0.21434356
212,0.21408184
213,0.2138309
214,0.21356188
215,0.2133826
216,0.21312058
217,0.21287103
218,0.21259718
219,0.21232052
220,0.2120948
221,0.2119282
222,0.21166773
223,0.21138743
224,0.21116576
225,0.21090469
226,0.21072057
227,0.21047132
228,0.21022451
229,0.20996666
230,0.20981038
231,0.20956193
232,0.20932369
233,0.20906816
234,0.20891191
235,0.20866038
236,0.20841946
237,0.2081704
238,0.20801264
239,0.2077764
240,0.20753117
241,0.20736586
242,0.20712054
243,0.2069105
244,0.20671107
245,0.20649272
246,0.20626235
247,0.20608672
248,0.20588426
249,0.20563512
250,0.205464
251,0.20525113
252,0.2050224
253,0.20486641
254,0.20465988
255,0.204484
256,0.20426658
257,0.2040219
258,0.20389782
259,0.20365395
260,0.20350613
261,0.20329463
262,0.20304927
263,0.20290656
264,0.2026918
265,0.20252818
266,0.20233902
267,0.20216413
268,0.20196494
269,0.20181395
270,0.2016001
271,0.20139098
272,0.20124258
273,0.20102493
274,0.2008959
275,0.2006512
276,0.20053828
277,0.20029016
278,0.20017363
279,0.19991371
280,0.19969732
281,0.19954227
282,0.19933018
283,0.19917874
284,0.19895841
285,0.1988059
286,0.19859642
287,0.19844145
288,0.19823955
289,0.19808319
290,0.19787793
291,0.19763432
292,0.19751725
293,0.19727834
294,0.19716364
295,0.19691652
296,0.19681382
297,0.19656982
298,0.19645055
299,0.1962133
300,0.19611628
301,0.19588113
302,0.19576694
303,0.19552943
304,0.19541778
305,0.19517916
306,0.19506961
307,0.19483818
308,0.19471796
309,0.19448899
310,0.1943745
311,0.19414248
312,0.19402526
313,0.19380742
314,0.1936857
315,0.19346434
316,0.19335432
317,0.1931298
318,0.19301213
319,0.19279869
320,0.19267859
321,0.19246647
322,0.19234402
323,0.19214451
324,0.19201447
325,0.1918163
326,0.19169076
327,0.19149967
328,0.19137011
329,0.19118811
330,0.191054
331,0.19087069
332,0.19073868
333,0.19056368
334,0.19042644
335,0.19024579
336,0.19010563
337,0.18992183
338,0.18979281
339,0.18961878
340,0.18949185
341,0.18930745
342,0.18918076
343,0.18899758
344,0.18887988
345,0.18870226
346,0.18857022
347,0.18840691
348,0.18827625
349,0.18810041
350,0.18798195
351,0.187801
352,0.18767905
353,0.18749234
354,0.18738009
355,0.18720408
356,0.18709087
357,0.18691197
358,0.1868063
359,0.18662193
360,0.18650955
361,0.18632758
362,0.18621927
363,0.18604359
364,0.18594408
365,0.18576609
366,0.18565416
367,0.18548356
368,0.18537065
369,0.18519522
370,0.18508348
371,0.18490991
372,0.18481858
373,0.18464854
374,0.18454835
375,0.18437771
376,0.18427207
377,0.18410861
378,0.1839875
379,0.18383431
380,0.18371361
381,0.18356209
382,0.1834399
383,0.1833031
384,0.18317342
385,0.18302485
386,0.18291424
387,0.1827614
388,0.182646
389,0.18256247
390,0.18238421
391,0.18229222
392,0.18212411
393,0.18203767
394,0.18185818
395,0.18178473
396,0.18160349
397,0.18152748
398,0.18135679
399,0.18127786
400,0.18109848
401,0.18101145
402,0.1808301
403,0.18074887
404,0.180578
405,0.18050276
406,0.18033469
407,0.18025352
408,0.18008652
409,0.18000832
410,0.17983173
411,0.17975645
412,0.17958805
413,0.17950974
414,0.17935494
415,0.17926714
416,0.17910665
417,0.17901686
418,0.1788577
419,0.17876145
420,0.17861427
421,0.17852867
422,0.1783833
423,0.17828384
424,0.17814705
425,0.17805278
426,0.17790127
427,0.17781103
428,0.1776692
429,0.17757525
430,0.1774384
431,0.17734008
432,0.17720927
433,0.17710748
434,0.17696896
435,0.17687668
436,0.17674612
437,0.17664582
438,0.17651267
439,0.17641257
440,0.17628337
441,0.17617993
442,0.1760596
443,0.17596489
444,0.17583384
445,0.1757408
446,0.17562121
447,0.17551978
448,0.17539772
449,0.17529519
450,0.17517127
451,0.17508446
452,0.17494833
453,0.17485847
454,0.17472506
455,0.17463538
456,0.17450978
457,0.174411
458,0.17429039
459,0.17419793
460,0.17407343
461,0.17398624
462,0.17386092
463,0.17376772
464,0.17363946
465,0.17356037
466,0.17343651
467,0.17334977
468,0.1732285
469,0.17313644
470,0.17301485
471,0.17292774
472,0.17280057
473,0.17272322
474,0.17260233
475,0.17252053
476,0.17240052
477,0.17232195
478,0.17220287
479,0.17211919
480,0.17199214
481,0.17191663
482,0.17178681
483,0.17170832
484,0.17159146
485,0.17151423
486,0.1713992
487,0.17131428
488,0.17120221
489,0.17111194
490,0.17100552
491,0.17091402
492,0.17081776
493,0.17071973
494,0.17060937
495,0.17052574
496,0.17041044
497,0.17032148
498,0.17021443
499,0.17013317
500,0.17005982
501,0.16993558
502,0.16986978
503,0.16973698
504,0.1696803
505,0.16955155
506,0.16947612
507,0.16935122
508,0.16929369
509,0.16917038
510,0.16909973
511,0.16898452
512,0.16892846
513,0.1688019
514,0.16874413
515,0.16861531
516,0.16855082
517,0.16842678
518,0.16836917
519,0.16824898
520,0.16818191
521,0.16807039
522,0.168002
523,0.16788472
524,0.16781321
525,0.16770238
526,0.16762632
527,0.16751495
528,0.16743922
529,0.1673349
530,0.16725692
531,0.16715181
532,0.16708502
533,0.16697522
534,0.16690437
535,0.16680425
536,0.16672935
537,0.16662061
538,0.16655844
539,0.16645513
540,0.16638267
541,0.16627957
542,0.16621172
543,0.1661112
544,0.16603643
545,0.16594142
546,0.16586618
547,0.16577241
548,0.16570368
549,0.16560346
550,0.16552868
551,0.16543949
552,0.16535798
553,0.16526602
554,0.16518648
555,0.16509892
556,0.16502102
557,0.16493168
558,0.1648564
559,0.16477115
560,0.16469508
561,0.16461006
562,0.16453919
563,0.1644468
564,0.1643693
565,0.16427536
566,0.16419746
567,0.16410716
568,0.16404021
569,0.16395575
570,0.16388412
571,0.16379522
572,0.16371948
573,0.16362824
574,0.16355684
575,0.16347139
576,0.16340424
577,0.16331565
578,0.1632495
579,0.16314667
580,0.16308686
581,0.16299191
582,0.16292326
583,0.16283111
584,0.16277155
585,0.16268307
586,0.16261819
587,0.16252615
588,0.16246258
589,0.162369
590,0.16230732
591,0.16221525
592,0.16215287
593,0.1620602
594,0.16200069
595,0.16190737
596,0.16184692
597,0.16175169
598,0.16169642
599,0.16160588
600,0.1615459
601,0.16145656
602,0.16140123
603,0.16132623
604,0.16124669
605,0.16117051
606,0.16110066
607,0.16102661
608,0.16095345
609,0.16086689
610,0.16079748
611,0.16074526
612,0.1606561
613,0.1605988
614,0.16050208
615,0.16044964
616,0.16036259
617,0.16031602
618,0.16020894
619,0.16017036
620,0.16007032
621,0.16002251
622,0.15992384
623,0.15986803
624,0.15977821
625,0.15972656
626,0.15963522
627,0.15959209
628,0.15950859
629,0.15944724
630,0.1593573
631,0.15930754
632,0.15921623
633,0.15916428
634,0.15907264
635,0.1590189
636,0.15893435
637,0.1588828
638,0.15879203
639,0.15873893
640,0.15865979
641,0.15859638
642,0.15852015
643,0.15846094
644,0.15838057
645,0.15831763
646,0.15824421
647,0.15817657
648,0.15811218
649,0.15804215
650,0.15797289
651,0.15791316
652,0.15783466
653,0.15777484
654,0.15770234
655,0.15763932
656,0.157566
657,0.15750058
658,0.1574345
659,0.15737158
660,0.15729931
661,0.15724096
662,0.15717293
663,0.15710749
664,0.1570465
665,0.15697698
666,0.1569181
667,0.15684757
668,0.1567898
669,0.15672207
670,0.15665561
671,0.15658554
672,0.15651496
673,0.1564553
674,0.15638961
675,0.15632594
676,0.1562593
677,0.15620159
678,0.15613267
679,0.15607382
680,0.15600426
681,0.15595232
682,0.1558823
683,0.15581644
684,0.15575568
685,0.15569682
686,0.15561754
687,0.15556347
688,0.15550107
689,0.1554526
690,0.1553776
691,0.15532257
692,0.15524824
693,0.15519723
694,0.1551281
695,0.15507485
696,0.15499952
697,0.15495251
698,0.15488578
699,0.15482683
700,0.15475471
701,0.1547039
702,0.15463506
703,0.15458311
704,0.15451673
705,0.1544619
