,Energy [eV]
0,0.1
1,0.60002
2,1.10004
3,1.60006
4,2.10008
5,2.6001
6,3.10012
7,3.60014
8,4.10016
9,4.60018
10,5.1002
11,5.60022
12,6.10024
13,6.60026
14,7.10028
15,7.6003
16,8.10032
17,8.60034
18,9.10036
19,9.60038
20,10.1004
21,10.60042
22,11.10044
23,11.60046
24,12.10048
25,12.6005
26,13.10052
27,13.60054
28,14.10056
29,14.60058
30,15.1006
31,15.60062
32,16.10064
33,16.60066
34,17.10068
35,17.6007
36,18.10072
37,18.60074
38,19.10076
39,19.60078
40,20.1008
41,20.60082
42,21.10084
43,21.60086
44,22.10088
45,22.6009
46,23.10092
47,23.60094
48,24.10096
49,24.60098
50,25.101
51,25.60102
52,26.10104
53,26.60106
54,27.10108
55,27.6011
56,28.10112
57,28.60114
58,29.10116
59,29.60118
60,30.1012
61,30.60122
62,31.10124
63,31.60126
64,32.10128
65,32.6013
66,33.10132
67,33.60134
68,34.10136
69,34.60138
70,35.1014
71,35.60142
72,36.10144
73,36.60146
74,37.10148
75,37.6015
76,38.10152
77,38.60154
78,39.10156
79,39.60158
80,40.1016
81,40.60162
82,41.10164
83,41.60166
84,42.10168
85,42.6017
86,43.10172
87,43.60174
88,44.10176
89,44.60178
90,45.1018
91,45.60182
92,46.10184
93,46.60186
94,47.10188
95,47.6019
96,48.10192
97,48.60194
98,49.10196
99,49.60198
100,50.102
101,50.60202
102,51.10204
103,51.60206
104,52.10208
105,52.6021
106,53.10212
107,53.60214
108,54.10216
109,54.60218
110,55.1022
111,55.60222
112,56.10224
113,56.60226
114,57.10228
115,57.6023
116,58.10232
117,58.60234
118,59.10236
119,59.60238
120,60.1024
121,60.60242
122,61.10244
123,61.60246
124,62.10248
125,62.6025
126,63.10252
127,63.60254
128,64.10256
129,64.60258
130,65.1026
131,65.60262
132,66.10264
133,66.60266
134,67.10268
135,67.6027
136,68.10272
137,68.60274
138,69.10276
139,69.60278
140,70.1028
141,70.60282
142,71.10284
143,71.60286
144,72.10288
145,72.6029
146,73.10292
147,73.60294
148,74.10296
149,74.60298
150,75.103
151,75.60302
152,76.10304
153,76.60306
154,77.10308
155,77.6031
156,78.10312
157,78.60314
158,79.10316
159,79.60318
160,80.1032
161,80.60322
162,81.10324
163,81.60326
164,82.10328
165,82.6033
166,83.10332
167,83.60334
168,84.10336
169,84.60338
170,85.1034
171,85.60342
172,86.10344
173,86.60346
174,87.10348
175,87.6035
176,88.10352
177,88.60354
178,89.10356
179,89.60358
180,90.1036
181,90.60362
182,91.10364
183,91.60366
184,92.10368
185,92.6037
186,93.10372
187,93.60374
188,94.10376
189,94.60378
190,95.1038
191,95.60382
192,96.10384
193,96.60386
194,97.10388
195,97.6039
196,98.10392
197,98.60394
198,99.10396
199,99.60398
200,100.104
201,100.60402
202,101.10404
203,101.60406
204,102.10408
205,102.6041
206,103.10412
207,103.60414
208,104.10416
209,104.60418
210,105.1042
211,105.60422
212,106.10424
213,106.60426
214,107.10428
215,107.6043
216,108.10432
217,108.60434
218,109.10436
219,109.60438
220,110.1044
221,110.60442
222,111.10444
223,111.60446
224,112.10448
225,112.6045
226,113.10452
227,113.60454
228,114.10456
229,114.60458
230,115.1046
231,115.60462
232,116.10464
233,116.60466
234,117.10468
235,117.6047
236,118.10472
237,118.60474
238,119.10476
239,119.60478
240,120.1048
241,120.60482
242,121.10484
243,121.60486
244,122.10488
245,122.6049
246,123.10492
247,123.60494
248,124.10496
249,124.60498
250,125.105
251,125.60502
252,126.10504
253,126.60506
254,127.10508
255,127.6051
256,128.10512
257,128.60514
258,129.10516
259,129.60518
260,130.1052
261,130.60522
262,131.10524
263,131.60526
264,132.10528
265,132.6053
266,133.10532
267,133.60534
268,134.10536
269,134.60538
270,135.1054
271,135.60542
272,136.10544
273,136.60546
274,137.10548
275,137.6055
