,time [fs]
0,2.2203231802581217e-32
1,4.4312567316117896e-17
2,1.2790895870804335e-16
3,2.177452186575496e-16
4,3.322018110656427e-16
5,4.810114790276976e-16
6,6.627119222940284e-16
7,8.791703658350162e-16
8,1.1254422387350603e-15
9,1.410534806711957e-15
10,1.7124973475068453e-15
11,2.011667124894746e-15
12,2.318540104854032e-15
13,2.6041799373695146e-15
14,2.8433954044432473e-15
15,3.048885777820507e-15
16,3.2251248150760235e-15
17,3.3686219959451227e-15
18,3.4882579570323293e-15
19,3.594284842932954e-15
20,3.689820500929824e-15
21,3.7759054455601586e-15
22,3.854657740137888e-15
23,3.927962571935985e-15
24,3.996736854959095e-15
25,4.061546537560726e-15
26,4.122931241404934e-15
27,4.181309775859838e-15
28,4.2369543386229766e-15
29,4.290035154734524e-15
30,4.340700305436686e-15
31,4.3891995199978856e-15
32,4.435835553107022e-15
33,4.480862767185089e-15
34,4.524417882360995e-15
35,4.566598257359334e-15
36,4.60749831915587e-15
37,4.6472177635310615e-15
38,4.685847334980212e-15
39,4.723463377264338e-15
40,4.760130980254539e-15
41,4.795909273982933e-15
42,4.8308529369997335e-15
43,4.865012165588748e-15
44,4.898432540303885e-15
45,4.931155275359542e-15
46,4.9632182427644705e-15
47,4.994656286470407e-15
48,5.025501593424582e-15
49,5.055783931668136e-15
50,5.085530797995781e-15
51,5.114767723749209e-15
52,5.143518449835771e-15
53,5.171805075624961e-15
54,5.1996482475405844e-15
55,5.2270672502233364e-15
56,5.254080125599087e-15
57,5.280703810492493e-15
58,5.306954181050659e-15
59,5.3328461758020575e-15
60,5.358393860643357e-15
61,5.38361047827278e-15
62,5.408508540504192e-15
63,5.4330998515841564e-15
64,5.4573955867502424e-15
65,5.481406323593848e-15
66,5.505142075989427e-15
67,5.528612351324599e-15
68,5.551826178508045e-15
69,5.574792128220522e-15
70,5.597518354536932e-15
71,5.620012620478092e-15
72,5.642282328161031e-15
73,5.664334525330635e-15
74,5.686175937513284e-15
75,5.7078129825464535e-15
76,5.7292518016552994e-15
77,5.7504982584258125e-15
78,5.771557966646446e-15
79,5.792436298170905e-15
80,5.813138397366023e-15
81,5.8336691913187815e-15
82,5.854033414743174e-15
83,5.8742356081162686e-15
84,5.894280120801128e-15
85,5.914171138352979e-15
86,5.9339126844777746e-15
87,5.9535086239564114e-15
88,5.972962678683243e-15
89,5.992278428216994e-15
90,6.011459313263475e-15
91,6.030508651184555e-15
92,6.049429643321176e-15
93,6.068225376100518e-15
94,6.086898825999366e-15
95,6.105452859022393e-15
96,6.1238902434507026e-15
97,6.142213652969264e-15
98,6.16042567231471e-15
99,6.178528798334195e-15
100,6.196525444854982e-15
101,6.214417942806082e-15
102,6.23220854800571e-15
103,6.249899444000851e-15
104,6.267492744553337e-15
105,6.284990497841861e-15
106,6.302394683077957e-15
107,6.319707221861533e-15
108,6.3369299729863925e-15
109,6.354064734452401e-15
110,6.371113258754138e-15
111,6.388077242536585e-15
112,6.404958327778752e-15
113,6.421758110861556e-15
114,6.4384781419947405e-15
115,6.455119924013022e-15
116,6.471684918481493e-15
117,6.488174543520025e-15
118,6.504590175369758e-15
119,6.520933151173842e-15
120,6.537204775841852e-15
121,6.5534063123666e-15
122,6.569538990387023e-15
123,6.585604011780897e-15
124,6.601602533445414e-15
125,6.617535684065824e-15
126,6.633404572919538e-15
127,6.649210273322503e-15
128,6.664953828428051e-15
129,6.680636255721326e-15
130,6.696258541670183e-15
131,6.711821656739473e-15
132,6.7273265437709975e-15
133,6.742774110346764e-15
134,6.75816524661989e-15
135,6.773500831509171e-15
136,6.7887817136774245e-15
137,6.80400871441271e-15
138,6.819182647346853e-15
139,6.8343042996511735e-15
140,6.849374433687472e-15
141,6.864393801444538e-15
142,6.879363136127403e-15
143,6.894283153028898e-15
144,6.9091545469849474e-15
145,6.923977993965407e-15
146,6.938754164524087e-15
147,6.953483715831192e-15
148,6.968167276099282e-15
149,6.982805457825367e-15
150,6.997398868626979e-15
151,7.0119481065746904e-15
152,7.026453749703607e-15
153,7.0409163575944624e-15
154,7.0553364856758114e-15
155,7.069714679825719e-15
156,7.084051464659444e-15
157,7.0983473564120235e-15
158,7.112602867491822e-15
